,amount_of_all_competitors,average_price_on_market,distance_to_cheapest_competitor,own_price,price_rank,quality_rank,sold,timestamp
0,5,22.419999999999998,,,,,0,2017-05-30T00:06:28.630Z
1,3,22.433333333333334,,,,,0,2017-05-30T00:06:29.483Z
2,3,23.3,,,,,0,2017-05-30T00:06:30.239Z
3,4,22.95,,,,,0,2017-05-30T00:06:30.999Z
4,5,22.860000000000003,,,,,0,2017-05-30T00:06:31.752Z
5,5,22.860000000000003,,,,,0,2017-05-30T00:06:32.496Z
6,5,22.779999999999998,,,,,0,2017-05-30T00:06:33.245Z
7,3,22.433333333333334,,,,,0,2017-05-30T00:06:33.993Z
8,4,23.1,,,,,0,2017-05-30T00:06:34.740Z
9,4,22.849999999999998,,,,,0,2017-05-30T00:06:35.501Z
10,3,22.5,,,,,0,2017-05-30T00:06:36.254Z
11,5,22.3,,,,,0,2017-05-30T00:06:37.004Z
12,4,22.35,,,,,0,2017-05-30T00:06:37.752Z
13,4,22.35,,,,,0,2017-05-30T00:06:38.512Z
14,5,22.860000000000003,,,,,0,2017-05-30T00:06:39.266Z
15,3,23.099999999999998,,,,,0,2017-05-30T00:06:40.022Z
16,5,22.34,,,,,0,2017-05-30T00:06:40.773Z
17,5,22.82,,,,,0,2017-05-30T00:06:41.412Z
18,4,22.9,,,,,0,2017-05-30T00:06:42.270Z
19,3,23.3,,,,,0,2017-05-30T00:06:42.911Z
20,2,22.5,,,,,0,2017-05-30T00:06:43.753Z
21,5,22.94,,,,,0,2017-05-30T00:06:44.502Z
22,2,22.5,,,,,0,2017-05-30T00:06:45.251Z
23,5,22.94,,,,,0,2017-05-30T00:06:46.009Z
24,5,22.94,,,,,0,2017-05-30T00:06:46.755Z
25,5,22.939999999999998,,,,,0,2017-05-30T00:06:47.510Z
26,4,23.0,,,,,0,2017-05-30T00:06:48.257Z
27,7,22.7,,,,,0,2017-05-30T00:06:48.899Z
28,2,22.5,,,,,0,2017-05-30T00:06:49.758Z
29,4,22.25,,,,,0,2017-05-30T00:06:50.509Z
30,6,22.400000000000002,,,,,0,2017-05-30T00:06:51.269Z
31,3,22.5,,,,,8868,2017-05-30T00:06:52.014Z
